// Aura
// Database file
// 
// Structure:
// Age  Race  Ap  Life  Mana  Stamina  Str  Int  Dex  Will  Luck
//---------------------------------------------------------------------------

// Human
10,10000,0,20,20,20,10,10,10,10,10
11,10000,1,25,22,23,12,10,12,13,13
12,10000,2,30,24,26,14,10,15,16,15
13,10000,3,34,26,30,16,10,18,19,17
14,10000,4,38,29,34,18,10,21,22,18
15,10000,5,42,32,38,20,11,23,24,19
16,10000,6,46,36,42,22,13,24,26,19
17,10000,7,49,40,46,24,15,25,28,19

// Elf
10,9000,0,16,25,16,10,12,14,10,10
11,9000,1,18,29,19,11,14,18,11,12
12,9000,2,21,33,21,12,16,22,12,14
13,9000,3,24,36,24,13,18,26,13,15
14,9000,4,27,40,26,14,20,29,15,16
15,9000,5,31,43,29,15,23,32,17,17
16,9000,6,33,45,35,16,26,35,19,17
17,9000,7,38,47,38,17,29,38,20,17

// Giant
10,8000,0,24,14,22,13,10,11,13,10
11,8000,1,28,15,26,17,10,13,15,12
12,8000,2,33,16,29,21,10,15,18,14
13,8000,3,37,18,32,24,10,17,21,15
14,8000,4,41,21,34,28,10,18,24,16
15,8000,5,46,24,36,32,10,19,27,17
16,8000,6,49,26,40,34,10,21,31,17
17,8000,7,55,28,43,36,11,23,35,17
