// Aura
// Database file
// 
// Values: name, unitTime, baseTime, seed, rows[[]]
//---------------------------------------------------------------------------

[
{ name: "type1", unitTime: 168, baseTime: "200501010000", seed: 4661, rows: [
	[ 63.2533333, 26.75, 9, 1 ],
	[ 63.31622222, 25.68, 10, 1 ],
	[ 63.88933333, 24.11, 11, 1 ],
	[ 64.158, 23.84, 11, 1 ],
	[ 63.52313682, 23.48, 12, 1 ],
	[ 62.23166667, 24.77, 12, 1 ],
	[ 60.28666667, 25.71, 13, 1 ],
	[ 61.29155556, 24.71, 13, 1 ],
	[ 59.375, 25.63, 14, 1 ],
	[ 59.625, 25.38, 14, 1 ],
	[ 58.725, 26.28, 14, 1 ],
	[ 57.69711111, 26.3, 14, 2 ],
	[ 57.73822222, 26.26, 14, 2 ],
	[ 59.05377778, 24.95, 14, 2 ],
	[ 57.51488889, 25.49, 15, 2 ],
	[ 57.51488889, 25.49, 15, 2 ],
	[ 56.59833333, 26.4, 15, 2 ],
	[ 55.792, 26.21, 16, 2 ],
	[ 56.368, 25.63, 16, 2 ],
	[ 53.94111111, 27.06, 17, 2 ],
	[ 55.19544444, 25.8, 17, 2 ],
	[ 53.08111111, 26.92, 18, 2 ],
	[ 52.84, 27.16, 18, 2 ],
	[ 51.30622222, 26.69, 20, 2 ],
	[ 48.82193182, 28.18, 21, 2 ],
	[ 45.51255814, 28.49, 24, 2 ],
	[ 38.37445783, 23.63, 36, 2 ],
	[ 37.63518072, 24.36, 36, 2 ],
	[ 39.5125, 25.49, 33, 2 ],
	[ 37.65909091, 22.34, 38, 2 ],
	[ 39.77156627, 22.23, 36, 2 ],
	[ 40.00963855, 21.99, 36, 2 ],
	[ 42.59235294, 22.41, 33, 2 ],
	[ 47.54883721, 27.45, 23, 2 ],
	[ 48.93772727, 29.06, 20, 2 ],
	[ 51.32333333, 28.68, 18, 2 ],
	[ 54.68, 27.32, 16, 2 ],
	[ 56.77545455, 25.22, 16, 2 ],
	[ 52.23470588, 22.77, 23, 2 ],
	[ 54.57022222, 23.43, 20, 2 ],
	[ 57.56111111, 22.44, 18, 2 ],
	[ 57.80222222, 22.2, 18, 2 ],
	[ 58.55666667, 21.44, 18, 2 ],
	[ 59.248, 22.75, 16, 2 ],
	[ 59.54166667, 25.46, 14, 1 ],
	[ 58.51666667, 26.48, 14, 1 ],
	[ 56.59666667, 23.4, 19, 1 ],
	[ 61.68333333, 23.32, 14, 1 ],
	[ 59.975, 25.03, 14, 1 ],
	[ 62.09477778, 24.91, 12, 1 ],
	[ 62.81466667, 25.19, 11, 1 ],
	[ 63.88933333, 24.11, 11, 1 ],
	[ 63.6, 26.4, 9, 1 ],
]},
{ name: "type2", unitTime: 168, baseTime: "200501010000", seed: 9222, rows: [
	[ 63.2533333, 26.75, 9, 1 ],
	[ 63.31622222, 25.68, 10, 1 ],
	[ 63.88933333, 24.11, 11, 1 ],
	[ 64.158, 23.84, 11, 1 ],
	[ 63.52313682, 23.48, 12, 1 ],
	[ 62.23166667, 24.77, 12, 1 ],
	[ 60.28666667, 25.71, 13, 1 ],
	[ 61.29155556, 24.71, 13, 1 ],
	[ 59.375, 25.63, 14, 1 ],
	[ 59.625, 25.38, 14, 1 ],
	[ 58.725, 26.28, 14, 1 ],
	[ 57.69711111, 26.3, 14, 2 ],
	[ 57.73822222, 26.26, 14, 2 ],
	[ 59.05377778, 24.95, 14, 2 ],
	[ 57.51488889, 25.49, 15, 2 ],
	[ 57.51488889, 25.49, 15, 2 ],
	[ 56.59833333, 26.4, 15, 2 ],
	[ 55.792, 26.21, 16, 2 ],
	[ 56.368, 25.63, 16, 2 ],
	[ 53.94111111, 27.06, 17, 2 ],
	[ 55.19544444, 25.8, 17, 2 ],
	[ 53.08111111, 26.92, 18, 2 ],
	[ 52.84, 27.16, 18, 2 ],
	[ 51.30622222, 26.69, 20, 2 ],
	[ 48.82193182, 28.18, 21, 2 ],
	[ 45.51255814, 28.49, 24, 2 ],
	[ 38.37445783, 23.63, 36, 2 ],
	[ 37.63518072, 24.36, 36, 2 ],
	[ 39.5125, 25.49, 33, 2 ],
	[ 37.65909091, 22.34, 38, 2 ],
	[ 39.77156627, 22.23, 36, 2 ],
	[ 40.00963855, 21.99, 36, 2 ],
	[ 42.59235294, 22.41, 33, 2 ],
	[ 47.54883721, 27.45, 23, 2 ],
	[ 48.93772727, 29.06, 20, 2 ],
	[ 51.32333333, 28.68, 18, 2 ],
	[ 54.68, 27.32, 16, 2 ],
	[ 56.77545455, 25.22, 16, 2 ],
	[ 52.23470588, 22.77, 23, 2 ],
	[ 54.57022222, 23.43, 20, 2 ],
	[ 57.56111111, 22.44, 18, 2 ],
	[ 57.80222222, 22.2, 18, 2 ],
	[ 58.55666667, 21.44, 18, 2 ],
	[ 59.248, 22.75, 16, 2 ],
	[ 59.54166667, 25.46, 14, 1 ],
	[ 58.51666667, 26.48, 14, 1 ],
	[ 56.59666667, 23.4, 19, 1 ],
	[ 61.68333333, 23.32, 14, 1 ],
	[ 59.975, 25.03, 14, 1 ],
	[ 62.09477778, 24.91, 12, 1 ],
	[ 62.81466667, 25.19, 11, 1 ],
	[ 63.88933333, 24.11, 11, 1 ],
	[ 63.6, 26.4, 9, 1 ],
]},
{ name: "type3", unitTime: 168, baseTime: "200501010000", seed: 913, rows: [
	[ 63.2533333, 26.75, 9, 1 ],
	[ 63.31622222, 25.68, 10, 1 ],
	[ 63.88933333, 24.11, 11, 1 ],
	[ 64.158, 23.84, 11, 1 ],
	[ 63.52313682, 23.48, 12, 1 ],
	[ 62.23166667, 24.77, 12, 1 ],
